id,nearc2,nearc4,nearc4a,nearc4b,ed76,ed66,age76,daded,nodaded,momed,nomomed,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,work76,work78,lwage76,lwage78,famed,black,smsa76r,smsa78r,reg76r,reg78r,reg80r,smsa66r,wage76,wage78,wage80,noint78,noint80,enroll76,enroll78,enroll80,kww,iq,marsta76,marsta78,marsta80,libcrd14,exp76
2,0,0,0,0,7,5,29,9.94,1,10.25,1,158413,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6.30627529,6.07484616,9,1,1,1,0,0,0,1,548,500,755,0,0,0,0,0,15,,1,1,1,0,16
3,0,0,0,0,12,11,27,8,0,8,0,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.17586727,,8,0,1,1,0,0,0,1,481,,769,0,0,0,0,0,35,93,1,4,4,1,9
4,0,0,0,0,12,12,34,14,0,12,0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.58063914,,2,0,1,,0,,,1,721,,,1,1,0,,,42,103,1,,,1,16
5,1,1,1,0,11,11,27,11,0,12,0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.52146092,,6,0,1,,0,,0,1,250,,,1,0,0,,0,25,88,1,,5,1,10
6,1,1,1,0,12,12,34,8,0,7,0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.59167373,6.54484979,8,0,1,1,0,0,,1,729,800,,0,1,0,0,,34,108,1,1,,0,16
7,1,1,1,0,12,11,26,9,0,12,0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.2146081,6.19351769,6,0,1,1,0,0,0,1,500,563,630,0,0,0,0,0,38,85,1,4,4,1,8
8,1,1,1,0,18,16,33,14,0,14,0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.33682573,6.46553598,1,0,1,1,0,0,0,1,565,739,808,0,0,0,0,0,41,119,1,1,1,1,9
9,1,1,1,0,14,13,29,14,0,14,0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.41017488,6.53100438,1,0,1,1,0,0,0,1,608,789,825,0,0,0,0,0,46,108,1,1,1,1,9
10,1,1,1,0,12,12,28,12,0,12,0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.05208917,6.14809662,3,0,1,1,0,0,0,1,425,538,650,0,0,0,0,0,32,96,4,4,4,0,10
11,1,1,1,0,12,12,29,12,0,12,0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.2441669,6.25716771,3,0,1,1,0,0,0,1,515,600,600,0,0,0,0,0,34,97,1,1,1,1,11
12,1,1,0,1,9,9,28,11,0,12,0,380166,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5.4161004,5.64406324,6,0,1,1,0,0,0,1,225,325,,0,0,0,0,0,29,84,1,1,1,0,13
13,1,1,0,1,12,10,26,11,0,6,0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5.99146455,5.91232723,8,0,1,1,0,0,0,1,400,425,578,0,0,0,0,0,34,89,1,1,1,1,8
14,1,1,0,1,11,9,24,11,0,6,0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6.03308622,,8,0,1,,0,,,1,417,,,1,1,0,,,22,93,1,,,1,7
15,1,1,0,1,11,9,30,11,0,6,0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5.37989735,6.06882808,8,0,1,1,0,0,0,1,217,497,563,0,0,0,0,0,27,74,1,1,1,0,13
16,1,1,0,1,16,16,31,9.94,1,8,0,648053,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,6.79570578,6.80528912,9,1,1,1,0,0,0,1,894,1038,1400,0,0,0,0,0,43,116,1,1,1,1,9
